	1/cos(Th)	ln(1+R/R')	R	Si atom%	SiO2 atom%
0	1	0.2777777778	0.2987398716	76.99771308	23.00228692
15	1.03527618	0.2875767168	0.3108689444	76.28527659	23.71472341
30	1.154700538	0.3207501495	0.352824403	73.91942352	26.08057648
45	1.414213562	0.3928371007	0.4489382221	69.01605498	30.98394502
60	2	0.5555555556	0.6931340957	59.06206735	40.93793265
75	3.863703305	1.073250918	1.795906119	35.76658004	64.23341996
